#1 CAFE,2080 CENTURY PARK E STE 108,90067,2018-03-01,90,A
#1 CHINESE FAST FOOD,8606 S VERMONT AVE,90044,2018-04-24,95,A
#1 DONUTS,8509 S FIGUEROA ST # 106,90003,2018-05-01,93,A
#2 MOON BBQ,478 N WESTERN AVE,90004,2018-04-05,91,A
1 & UP ONLY STORE,11151 AVALON BLVD # 105,90061,2018-03-07,96,A
1 STREET POOL&BILLARD PARLOR,1906 E 1ST ST,90033,2018-5-32,96,A
1 WOK,5565 W MANCHESTER AVE,90045,2018-04-19,90,A
10 - E,811 W 7TH ST,90017,2018-02-01,93,A
10 - E,811 W 7TH ST,90017,2018-06-12,90,A
10 BELOW ICE CREAM,202 E 2ND ST,90012,2018-06-26,93,A
100% MEXICANA,3225 S CENTRAL AVE,90011,2018-01-09,94,A
101 ASIAN KITCHEN INC,7170 BEVERLY BLVD,90036,2018-04-04,90,A
101 COFFEE SHOP,6145 FRANKLIN AVE,90068,2018-01-22,95,A
101 COFFEE SHOP,6145 FRANKLIN AVE,90068,2018-04-25,95,A
101 COFFEE SHOP,6145 FRANKLIN AVE,90068,2018-07-30,94,A
161 STREET PIZZERIA,3252 CAHUENGA BLVD W,90068,2018-04-10,98,A
1880 CAFE,1880 CENTURY PARK E STE 103,90067,2018-03-20,90,A
1ST STREET BURGERS,3737 E 1ST ST,90063,2018-04-04,91,A
2 FOR 1 PIZZA COMPANY,1905 S WESTERN AVE # 3,90018,2018-03-13,91,A
213 BEER,3224 W OLYMPIC BLVD UNIT 103,90006,2018-01-26,91,A
21MARKET,2020 HOOPER AVE,90011,2018-07-20,96,A
23RD ST CAFE,936 W 23RD ST,90007,2018-02-23,90,A
23RD ST CAFE,936 W 23RD ST,90007,2018-05-31,95,A
24 HOUR FITNESS,9911 W PICO BLVD # A,90035,2018-02-20,97,A
24 HOUR FITNESS #490,5045 W SLAUSON AVE,90056,2018-03-16,98,A
24 HOUR FITNESS #905,505 S FLOWER ST B,90071,2018-04-12,98,A
25 DEGREES,7000 HOLLYWOOD BLVD,90028,2018-03-08,94,A
25 DEGREES,7000 HOLLYWOOD BLVD,90028,2018-07-10,91,A
2ND FLOOR LA,865 S VERMONT AVE,90005,2018-01-18,90,A
2ND FLOOR LA,865 S VERMONT AVE,90005,2018-06-05,90,A
3 MIN MINI MARKET,8861 S BROADWAY,90003,2018-06-13,91,A
3000 YEARS HEALTH CENTER,823 N BROADWAY,90012,2018-02-28,97,A
30TH STREET MARKET,2924 MAPLE AVE,90011,2018-06-26,91,A
310 COFFEE COMPANY,11623 WASHINGTON PL,90066,2018-04-23,99,A
326 BEER AND WINE,6333 W 3RD ST # #326,90036,2018-03-27,97,A
33 TAPS SILVERLAKE,3725 W SUNSET BLVD,90026,2018-03-12,96,A
33 TAPS SILVERLAKE,3725 W SUNSET BLVD,90026,2018-05-31,90,A
3RD GENERATION,808 W 7TH ST,90017,2018-02-01,91,A
3RD GENERATION,808 W 7TH ST,90017,2018-06-11,90,A
4 AMIGOS,12725 S VERMONT AVE,90044,2018-01-04,83,B
4 PLAY,2238 COTNER AVE,90064,2018-05-24,97,A
4100 BAR,1087 MANZANITA ST,90029,2018-06-07,94,A
435 NORTH FAIRFAX,435 N FAIRFAX AVE,90036,2018-06-21,92,A
48TH STREET MARKET,2371 W 48TH ST,90043,2018-06-26,97,A
4TH AVE LIQUOR,2527 54TH ST,90043,2018-06-26,97,A
4TH STREET ORCHARD,600 E 4TH ST # C201,90013,2018-04-17,97,A
5 LINE RESTAURANT,2136 W COLORADO BLVD # A,90041,2018-04-13,97,A
5 LINE RESTAURANT,2136 W COLORADO BLVD # A,90041,2018-06-11,97,A
5 STAR MARKET,2700 W VERNON AVE,90008,2018-06-21,90,A
54TH FLOOR KITCHEN,633 W 5TH ST,90071,2018-05-04,97,A
54TH ST MARKET,2731 W 54TH ST,90043,2018-06-26,97,A
55TH STREET MARKET,5428 S HOOPER AVE,90011,2018-05-29,93,A
55TH STREET MARKET,5428 S HOOPER AVE,90011,2018-05-30,83,B
5K'S MEXICAN GRILL/EL POTRILLO CAFE,210 N VIRGIL AVE,90004,2018-05-23,97,A
69TH FLOOR BAR,633 W 5TH ST,90071,2018-03-27,96,A
69TH FLOOR BAR,633 W 5TH ST,90071,2018-06-28,94,A
6TH STREET MARKET,212 W 6TH ST,90014,2018-05-07,90,A
7 24 MINI MARKET,13517 AVALON BLVD,90061,2018-03-07,95,A
7 STAR MARKET,10117 S NORMANDIE AVE,90044,2018-06-19,95,A
7-STAR COFFEE #3,650 S HILL ST STE S-1,90014,2018-06-27,99,A
700 SOUTH VERMONT CORP,700 S VERMONT AVE,90005,2018-02-13,98,A
71 ABOVE,633 W 5TH ST # 7100,90071,2018-02-22,96,A
71 ABOVE,633 W 5TH ST # 7100,90071,2018-06-28,92,A
76 STATION,105 N NORTH AVENUE 52,90042,2018-06-06,96,A
77 KENTUCKY,698 S VERMONT AVE # 101,90005,2018-02-13,97,A
77 KENTUCKY,698 S VERMONT AVE # 101,90005,2018-04-23,92,A
77 KENTUCKY,698 S VERMONT AVE # 101,90005,2018-07-16,96,A
777 MARKET,1900 S LA BREA AVE # 1,90016,2018-06-20,90,A
8 OZ POKE,7217 MELROSE AVE,90046,2018-01-04,90,A
8 OZ POKE,7217 MELROSE AVE,90046,2018-05-11,94,A
800 DEGREES NEAPOLITAN PIZZERIA,1539 N VINE ST,90028,2018-06-05,94,A
800 DEGREES DOWN TOWN LACA LLC,800 WILSHIRE BLVD,90017,2018-07-23,91,A
800 DEGREES NEAPOLITAN PIZZE,10889 LINDBROOK DR,90024,2018-01-02,91,A
800 DEGREES NEAPOLITAN PIZZE,10889 LINDBROOK DR,90024,2018-05-17,92,A
800 DEGREES PIZZERIA,380 WORLD WAY T31,90045,2018-02-15,93,A
800 DEGREES PIZZERIA,380 WORLD WAY T31,90045,2018-05-09,81,B
800 DEGREES PIZZERIA,380 WORLD WAY T31,90045,2018-05-25,94,A
82 MARKET,5204 MELROSE AVE,90038,2018-06-21,97,A
85 C BAKERY CAFE,3377 WILSHIRE BLVD # 101,90010,2018-01-30,97,A
85 CELSIUS BAKERY CAFE,700 WILSHIRE BLVD,90010,2018-05-14,94,A
88 SLT,2520 W 8TH ST 109,90057,2018-05-04,93,A
89~ DISCOUNT MORE & MORE,2222 E CESAR E CHAVEZ AVE,90033,2018-02-07,97,A
8GAH SOONDAE,2703 W 8TH ST STE D,90005,2018-04-09,94,A
8GAH SOONDAE,2703 W 8TH ST STE D,90005,2018-07-09,91,A
8TH LIQUOR MARKET,6007 8TH AVE,90043,2018-06-29,94,A
8TH STREET OK LIQUOR,749 S WESTERN AVE,90005,2018-05-25,96,A
8XPRESS CHICKEN,2748 W 8TH ST #104 -107,90005,2018-02-21,96,A
